所有CPC成效報告 - Shopee台灣
使用者名稱,space_pet_shop
賣場名稱,【火箭貓狗】寵物百貨
賣場ID,1413657914
報表匯出時間,2026/09/10 11:21
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/02/21 00:00:00,無限制,877,30,3.42%,-,-,9,6,30.00%,20.00%,22.22,33.33,38,32,2805.00,2516.00,200.00,14.03,12.58,7.13%,7.95%,-,-,-,0.00,0.00
2,🔥快速到貨🔥送肉泥 火箭貓狗【Farmina 法米納】貓飼料 全系列 天然無穀/低穀【300g-1.5kg】小包裝 [2],正在進行,商品廣告,29322415321,-,全站推廣 - 系統自動最佳化,所有,2025/07/31 00:00:00,無限制,1412,59,4.18%,6,10.17%,3,1,5.08%,1.69%,66.67,200.00,4,1,1332.00,1251.00,200.00,6.66,6.25,15.02%,15.99%,-,-,-,0.00,0.00
3,台灣現貨🔥快速到貨🔥火箭貓狗【享生活】多功能附蓋收納箱 置物箱 收納籃 置物籃 收納 民生用品 生活用品,正在進行,商品廣告,55203326089,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,547,14,2.56%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,10.55,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
4,🔥快速到貨🔥火箭貓狗【渴樂果 Karoko】狗飼料 7.7kg-13.5kg【大包】,正在進行,商品廣告,41154783360,-,全站推廣 - 系統自動最佳化,所有,2026/01/28 00:00:00,無限制,313,5,1.60%,0,0.00%,1,1,20.00%,20.00%,100.00,100.00,1,1,1509.00,1509.00,100.00,15.09,15.09,6.63%,6.63%,-,-,-,0.00,0.00
5,🔥快速到貨🔥火箭貓狗【歐姆貓】蜂王乳貓泥 綜合包 貓肉泥 肉泥 貓零食 貓食品 30條/60條 贈肉泥,正在進行,商品廣告,57306069423,-,全站推廣 - 系統自動最佳化,所有,2026/03/25 00:00:00,無限制,310,5,1.61%,1,20.00%,3,3,60.00%,60.00%,33.33,33.33,6,6,2430.00,2430.00,100.00,24.30,24.30,4.12%,4.12%,-,-,-,0.00,0.00
6,🔥快速到貨🔥火箭貓狗【瑪恩吉】天然全能貓系列 真野 無穀 低穀 貓飼料 貓糧【1.5kg】小包,正在進行,商品廣告,26920876173,-,全站推廣 - 系統自動最佳化,所有,2026/01/05 00:00:00,無限制,307,5,1.63%,2,40.00%,9,2,180.00%,40.00%,11.11,50.00,9,2,4100.00,1107.00,100.00,41.00,11.07,2.44%,9.03%,-,-,-,0.00,0.00
7,🔥送肉泥🔥【法國皇家 ROYAL CANIN】貓飼料 貓糧 皇家飼料 小包裝 1.5kg-4kg🚀火箭貓狗🚀 [2],正在進行,商品廣告,26070339412,-,全站推廣 - 系統自動最佳化,所有,2026/02/05 00:00:00,無限制,291,8,2.75%,6,75.00%,2,1,25.00%,12.50%,50.00,100.00,3,2,1874.00,1874.00,100.00,18.74,18.74,5.34%,5.34%,-,-,-,0.00,0.00
8,【法國皇家 ROYAL CANIN】原廠正貨 貓濕糧 貓餐包 皇家濕糧 85g 🚀火箭貓狗🚀快速到貨🚀 [3],正在進行,商品廣告,27370225576,-,全站推廣 - 系統自動最佳化,所有,2026/05/15 00:00:00,無限制,113,5,4.42%,0,0.00%,1,1,20.00%,20.00%,100.00,100.00,18,18,666.00,666.00,100.00,6.66,6.66,15.02%,15.02%,-,-,-,0.00,0.00
