所有CPC成效報告 - Shopee台灣
使用者名稱,curly_tail_petshop
賣場名稱,大尾巴寵物店
賣場ID,1351904964
報表匯出時間,2026/09/10 11:20
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/02 00:00:00,無限制,1142,34,2.98%,-,-,6,6,17.65%,17.65%,100.00,100.00,78,78,6967.00,6967.00,600.00,11.61,11.61,8.61%,8.61%,-,-,-,0.00,0.00
2,🚛快速到貨【大尾巴】Happi Doggy 纖嚼 無穀健齒棒 潔牙骨 潔牙棒 桶裝M號 1.5kg (60入),正在進行,商品廣告,27676552174,-,全站推廣 - 系統自動最佳化,所有,2026/08/26 00:00:00,無限制,869,12,1.38%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,99.45,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
3,🚛快速到貨【大尾巴】台灣現貨【享生活】多巴胺箱 斜口箱 收納箱 收納櫃 整理箱 收納用品 民生用品 生活用品,正在進行,商品廣告,52903230480,-,全站推廣 - 系統自動最佳化,所有,2026/01/23 00:00:00,無限制,848,54,6.37%,5,9.26%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,38.31,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
4,🚛快速到貨【大尾巴】Farmina 法米納 狗飼料 全系列 天然無穀/低穀 全齡犬 800g-2.5kg【小包裝】 [3],正在進行,商品廣告,24137708501,-,全站推廣 - 系統自動最佳化,所有,2025/07/23 00:00:00,無限制,575,29,5.04%,8,27.59%,2,2,6.90%,6.90%,100.00,100.00,2,2,1860.00,1860.00,200.00,9.30,9.30,10.75%,10.75%,-,-,-,0.00,0.00
5,🚛快速到貨【大尾巴】法國皇家 ROYAL CANIN 狗飼料 犬乾糧 飼料 狗糧 犬糧 皇家狗飼料【小包裝】🐕,正在進行,商品廣告,27563597425,-,全站推廣 - 系統自動最佳化,所有,2026/03/19 00:00:00,無限制,383,5,1.31%,0,0.00%,2,2,40.00%,40.00%,50.00,50.00,3,3,2014.00,2014.00,100.00,20.14,20.14,4.97%,4.97%,-,-,-,0.00,0.00
6,🚛快速到貨【大尾巴】耐吉斯 Solution 犬飼料 狗飼料 無穀飼料 E/P/V系列【4.5lb-10lb】小包裝 [3],正在進行,商品廣告,27013499923,-,全站推廣 - 系統自動最佳化,所有,2025/08/20 00:00:00,無限制,294,8,2.72%,2,25.00%,3,3,37.50%,37.50%,50.00,50.00,4,4,2725.00,2725.00,150.00,18.17,18.17,5.50%,5.50%,-,-,-,0.00,0.00
7,🔥送肉泥🔥【大尾巴】法國皇家 ROYAL CANIN 貓飼料 貓乾糧 皇家貓飼料 幼母貓 成貓【小包裝】,正在進行,商品廣告,26063639184,-,全站推廣 - 系統自動最佳化,所有,2026/04/01 00:00:00,無限制,174,2,1.15%,1,50.00%,6,2,300.00%,100.00%,25.00,75.00,6,2,2481.00,2289.00,150.00,16.54,15.26,6.05%,6.55%,-,-,-,0.00,0.00
8,🚛快速到貨【大尾巴】薛丁格 貓凍乾 凍乾零食 貓零食 寵物凍乾 寵物零食 厚切里肌 益生菌 罐裝 40g-300g,正在進行,商品廣告,29826557016,-,全站推廣 - 系統自動最佳化,所有,2025/09/24 00:00:00,無限制,158,3,1.90%,0,0.00%,26,3,866.67%,100.00%,5.77,50.00,35,5,5507.00,2379.00,150.00,36.71,15.86,2.72%,6.31%,-,-,-,0.00,0.00
9,🚛快速到貨【大尾巴】柏萊富 Blackwood 狗飼料 全系列犬糧 幼犬 成犬 全齡犬【4.5lb/10lb】小包,正在進行,商品廣告,27320788696,-,全站推廣 - 系統自動最佳化,所有,2026/03/25 00:00:00,無限制,122,4,3.28%,0,0.00%,1,1,25.00%,25.00%,200.00,200.00,1,1,1463.00,1463.00,200.00,7.32,7.32,13.67%,13.67%,-,-,-,0.00,0.00
