所有CPC成效報告 - Shopee台灣
使用者名稱,petboss5566
賣場名稱,萌寵要當家
賣場ID,1289295204
報表匯出時間,2026/09/10 11:14
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/13 00:00:00,無限制,198,7,3.54%,-,-,2,1,28.57%,14.29%,100.00,200.00,2,1,990.00,990.00,200.00,4.95,4.95,20.20%,20.20%,-,-,-,0.00,0.00
2,🚀快速到貨🚀萌寵要當家 台灣現貨【享生活】洞洞收納盒 桌面收納盒 化妝品收納 收納架 置物架 民生用品 生活用品,正在進行,商品廣告,48859581834,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,1312,42,3.20%,3,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,15.27,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
3,🚀快速到貨🚀萌寵要當家【瑞威 REAL POWER】貓飼料 貓乾糧  貓糧 飼料 貓咪飼料 小包裝 2kg-4kg,正在進行,商品廣告,51758379653,-,全站推廣 - 系統自動最佳化,所有,2026/05/14 00:00:00,無限制,602,14,2.33%,3,21.43%,6,3,42.86%,21.43%,49.95,99.90,6,3,3260.00,3260.00,299.70,10.88,10.88,9.19%,9.19%,-,-,-,0.00,0.00
4,🚀快速到貨🚀 萌寵要當家【CHARM 野性魅力】貓糧 貓飼料 飼料 乾糧 貓咪飼料【5.4kg】大包裝,正在進行,商品廣告,28836825883,-,全站推廣 - 系統自動最佳化,所有,2025/11/19 00:00:00,無限制,479,13,2.71%,1,7.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,81.33,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,🔥送肉泥🔥萌寵要當家【Royal Canin 法國皇家】貓飼料 原廠正貨 皇家貓飼料 10kg-15kg 大包裝,正在進行,商品廣告,49106706677,-,全站推廣 - 系統自動最佳化,所有,2026/04/01 00:00:00,無限制,285,11,3.86%,0,0.00%,15,3,136.36%,27.27%,40.00,200.00,40,3,19339.00,9286.00,600.00,32.23,15.48,3.10%,6.46%,-,-,-,0.00,0.00
6,🚀送肉泥🚀萌寵要當家【TOMA-PRO 優格】貓飼料 經典/零穀/親親系列 貓糧 乾糧【大包裝】,正在進行,商品廣告,29870129472,-,全站推廣 - 系統自動最佳化,所有,2026/04/15 00:00:00,無限制,280,12,4.29%,1,8.33%,2,1,16.67%,8.33%,50.00,100.00,2,1,2155.00,2155.00,100.00,21.55,21.55,4.64%,4.64%,-,-,-,0.00,0.00
7,🚀快速到貨🚀萌寵要當家【瑞威 REAL POWER】狗飼料 狗糧 犬糧 犬飼料 乾糧 飼料 小包裝 2kg-4kg,正在進行,商品廣告,27194541618,-,全站推廣 - 系統自動最佳化,所有,2026/05/04 00:00:00,無限制,260,4,1.54%,0,0.00%,5,4,125.00%,100.00%,80.00,100.00,5,4,4310.00,3950.00,400.00,10.78,9.88,9.28%,10.13%,-,-,-,0.00,0.00
8,🚀快速到貨🚀萌寵要當家【柏萊富 Blackwood】狗飼料 全系列犬糧 幼犬 成犬 全齡犬【4.5lb/10lb】小包,正在進行,商品廣告,26070904095,-,全站推廣 - 系統自動最佳化,所有,2026/08/13 00:00:00,無限制,148,6,4.05%,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,100.00,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
