所有CPC成效報告 - Shopee台灣
使用者名稱,pets_moment_store
賣場名稱,貓狗好時光
賣場ID,1424623151
報表匯出時間,2026/09/10 11:23
期間,2026/09/09 - 2026/09/09

順序,廣告名稱,狀態,廣告類型,商品 ID,創作,出價模式,版位,開始日期,結束日期,瀏覽數,點擊數,點擊率,加入購物車次數,加入購物車轉換率,轉換數,直接轉換數,轉換率,直接轉換率,每一筆轉換的成本,每一筆直接轉換的成本,銷售數,直接銷售數,銷售金額,直接銷售金額,花費,投入產出比,直接投入產出比,成本收入比率,直接成本收入比率,商品瀏覽數,商品點擊數,商品點擊率,優惠券金額,優惠券帶來的銷售額
1,自動選品廣告,正在進行,,-,-,全站推廣-系統自動最佳化 (自動選品),所有,2026/03/12 00:00:00,無限制,478,16,3.35%,-,-,4,3,25.00%,18.75%,50.00,66.67,4,3,1961.00,1961.00,200.00,9.80,9.80,10.20%,10.20%,-,-,-,0.00,0.00
2,✅快速到貨🐱貓狗好時光【柏萊富 Blackwood】狗飼料 全系列犬糧 幼犬 成犬 全齡犬【24lb】大包 [2],正在進行,商品廣告,26971598327,-,全站推廣 - 系統自動最佳化,所有,2025/04/22 00:00:00,無限制,1496,34,2.27%,5,14.71%,7,2,20.59%,5.88%,14.29,50.00,14,2,10003.00,4987.00,100.00,100.03,49.87,1.00%,2.01%,-,-,-,0.00,0.00
3,✅快速到貨🐱貓狗好時光【瑞威 REAL POWER】貓飼料 貓乾糧  貓糧 飼料 貓咪飼料 小包裝 2kg-4kg,正在進行,商品廣告,49408409614,-,全站推廣 - 系統自動最佳化,所有,2026/05/04 00:00:00,無限制,711,18,2.53%,3,16.67%,4,2,22.22%,11.11%,50.00,100.00,4,2,2685.00,2366.00,200.00,13.43,11.83,7.45%,8.45%,-,-,-,0.00,0.00
4,🎁送肉泥🎁貓狗好時光【法國皇家 ROYAL CANIN】貓飼料 貓乾糧 皇家貓飼料 幼母貓 成貓【小包裝】 [2],正在進行,商品廣告,29871106436,-,全站推廣 - 系統自動最佳化,所有,2026/04/09 00:00:00,無限制,479,21,4.38%,9,42.86%,6,3,28.57%,14.29%,33.33,66.67,7,4,4636.00,4636.00,200.00,23.18,23.18,4.31%,4.31%,-,-,-,0.00,0.00
5,✅快速到貨🐱貓狗好時光【TOMA-PRO 優格】經典 / 零穀 / 親親系列 狗飼料 犬乾糧 狗乾糧【大包裝】,正在進行,商品廣告,26523102707,-,全站推廣 - 系統自動最佳化,所有,2025/06/03 00:00:00,無限制,336,9,2.68%,0,0.00%,7,5,77.78%,55.56%,142.86,200.00,8,6,13226.00,9066.00,1000.00,13.23,9.07,7.56%,11.03%,-,-,-,0.00,0.00
6,台灣現貨✅快速到貨🐱貓狗好時光【享生活】桌邊小推車 床邊桌 收納桌 收納推車 置物架 收納架 民生用品 生活用品,正在進行,商品廣告,47905786639,-,全站推廣 - 系統自動最佳化,所有,2026/05/07 00:00:00,無限制,334,7,2.10%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,7.74,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
7,✅快速到貨🐱原廠正貨  貓狗好時光【法國皇家 ROYAL CANIN】貓濕糧 皇家濕糧 幼母貓 成貓 餐包 (85g) [2],正在進行,商品廣告,26671146585,-,全站推廣 - 系統自動最佳化,所有,2026/05/26 00:00:00,無限制,146,6,4.11%,3,50.00%,1,1,16.67%,16.67%,100.00,100.00,27,27,1026.00,1026.00,100.00,10.26,10.26,9.75%,9.75%,-,-,-,0.00,0.00
