"處理時間","報表類型","動作","原始路徑","目標路徑","統計開始日","統計結束日","產出時間","檔案大小","結果","備註"
2026-09-10 11:32:26,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_101510.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_101510.png,20260901,20260930,20260910_101510,394580,成功,
2026-09-10 11:32:26,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260910_113224.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_113224.png,20260901,20260930,20260910_113224,399183,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-10 12:08:51,跨平台關注群組數量報表,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260908_產出20260909_111539.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\跨平台關注群組數量報表_統計20260901-20260908_產出20260909_111539.png,20260901,20260908,20260909_111539,975599,成功,
2026-09-10 12:08:51,跨平台關注群組數量報表,輸出,D:\Projects\python_dev\ec-data-pipeline\data_processed\reports\platform_orders_focus_groups\12_focus_groups_quantity_report_20260901-20260909_20260910_120849.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260909_產出20260910_120849.png,20260901,20260909,20260910_120849,966734,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-10 15:15:40,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_113224.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_113224.png,20260901,20260930,20260910_113224,399183,成功,
2026-09-10 15:15:40,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260910_151539.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_151539.png,20260901,20260930,20260910_151539,399927,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-10 15:28:01,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_151539.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_151539.png,20260901,20260930,20260910_151539,399927,成功,
2026-09-10 15:28:01,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260910_152800.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_152800.png,20260901,20260930,20260910_152800,399194,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-10 16:05:15,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_152800.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260910_152800.png,20260901,20260930,20260910_152800,399194,成功,
2026-09-10 16:05:16,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260910_160515.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260910_160515.png,20260901,20260930,20260910_160515,398847,成功,已驗證 PNG 並放入 LINE 待發區
